title,artist,pop_today,track_id,url
STARSTRUKK (feat. Katy Perry),3OH!3,62,1hBM2D1ULT3aeKuddSwPsK,https://open.spotify.com/track/1hBM2D1ULT3aeKuddSwPsK
My First Kiss (feat. Ke$ha),3OH!3,59,17tDv8WA8IhqE8qzuQn707,https://open.spotify.com/track/17tDv8WA8IhqE8qzuQn707
I Need A Dollar,Aloe Blacc,67,3oUphdZVPyrsprZ8FgbmQS,https://open.spotify.com/track/3oUphdZVPyrsprZ8FgbmQS
Airplanes (feat. Hayley Williams of Paramore),B.o.B,73,6lV2MSQmRIkycDScNtrBXO,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO
Nothin' on You (feat. Bruno Mars),B.o.B,76,59dLtGBS26x7kc0rHbaPrq,https://open.spotify.com/track/59dLtGBS26x7kc0rHbaPrq
Magic (feat. Rivers Cuomo),B.o.B,61,5uHYcK0nbEYgRaFTY5BqnP,https://open.spotify.com/track/5uHYcK0nbEYgRaFTY5BqnP
The Time (Dirty Bit),Black Eyed Peas,68,7vWFaMq63AwkFDhS2OAg5u,https://open.spotify.com/track/7vWFaMq63AwkFDhS2OAg5u
Imma Be,Black Eyed Peas,64,0oJMv049q8hEkes9w0L1J4,https://open.spotify.com/track/0oJMv049q8hEkes9w0L1J4
Talking to the Moon,Bruno Mars,81,161DnLWsx1i3u1JT05lzqU,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
Just the Way You Are,Bruno Mars,85,7BqBn9nzAq8spo5e7cZ0dJ,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
Teach Me How to Dougie,Cali Swag District,66,61LtVmmkGr8P9I2tSPvdpf,https://open.spotify.com/track/61LtVmmkGr8P9I2tSPvdpf
Forget You,CeeLo Green,60,7AqISujIaWcY3h5zrOqt5v,https://open.spotify.com/track/7AqISujIaWcY3h5zrOqt5v
Deuces (feat. Tyga & Kevin McCall),Chris Brown,68,6wN4nT2qy3MQc098yL3Eu9,https://open.spotify.com/track/6wN4nT2qy3MQc098yL3Eu9
Memories (feat. Kid Cudi),David Guetta,65,4dTaAiV9xFFCxnPur9c9yL,https://open.spotify.com/track/4dTaAiV9xFFCxnPur9c9yL
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,47,6FbGlkHKGkYqpSCuBgurn3,https://open.spotify.com/track/6FbGlkHKGkYqpSCuBgurn3
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,67,5NEKjqTQPKiqOiOG8YxLdS,https://open.spotify.com/track/5NEKjqTQPKiqOiOG8YxLdS
Over,Drake,65,6BdgtqiV3oXNqBikezwdvC,https://open.spotify.com/track/6BdgtqiV3oXNqBikezwdvC
Find Your Love,Drake,63,4BycRneKmOs6MhYG9THsuX,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX
Stereo Love - Radio Edit,Edward Maya,63,1AguHaKOuggrVTebp7cZEI,https://open.spotify.com/track/1AguHaKOuggrVTebp7cZEI
Pack Up,Eliza Doolittle,33,5YWP23fhLuBR7adVav91Nb,https://open.spotify.com/track/5YWP23fhLuBR7adVav91Nb
Starry Eyed,Ellie Goulding,49,14OF4JQOIm4hb0GfG5nfyF,https://open.spotify.com/track/14OF4JQOIm4hb0GfG5nfyF
Love The Way You Lie,Eminem,83,15JINEqzVMv3SvJTAXAKED,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED
Not Afraid,Eminem,78,7Ie9W94M7OjPoZVV216Xus,https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus
I Like It,Enrique Iglesias,64,4nVyHATevhl5RC6Qmoko5H,https://open.spotify.com/track/4nVyHATevhl5RC6Qmoko5H
Kickstarts,Example,59,3kSuigMCaMtyHXcMs1vbg8,https://open.spotify.com/track/3kSuigMCaMtyHXcMs1vbg8
Like A G6,Far East Movement,68,4DvhkX2ic4zWkQeWMwQ2qf,https://open.spotify.com/track/4DvhkX2ic4zWkQeWMwQ2qf
Club Can't Handle Me (feat. David Guetta),Flo Rida,76,6ebkx7Q5tTxrCxKq4GYj0Y,https://open.spotify.com/track/6ebkx7Q5tTxrCxKq4GYj0Y
Hot - Malibu Breeze Radio Edit,Inna,0,1tkGcEc3NHY1KZmi9RfaX6,https://open.spotify.com/track/1tkGcEc3NHY1KZmi9RfaX6
Replay,Iyaz,69,5vlEg2fT4cFWAqU5QptIpQ,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ
Whatcha Say,Jason Derulo,66,67T6l4q3zVjC5nZZPXByU8,https://open.spotify.com/track/67T6l4q3zVjC5nZZPXByU8
Ridin' Solo,Jason Derulo,62,6BaxqcoEM9r3LXisTyJjST,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST
In My Head,Jason Derulo,59,5BoIP8Eha5hwmRVURkC2Us,https://open.spotify.com/track/5BoIP8Eha5hwmRVURkC2Us
Down,Jay Sean,77,6cmm1LMvZdB5zsCwX5BjqE,https://open.spotify.com/track/6cmm1LMvZdB5zsCwX5BjqE
Do You Remember,Jay Sean,68,6A5NlmBCsCGbJ27jHQgKV5,https://open.spotify.com/track/6A5NlmBCsCGbJ27jHQgKV5
Young Forever,JAY-Z,63,35srNkJVToAzYiZzron1FY,https://open.spotify.com/track/35srNkJVToAzYiZzron1FY
Heartbreak Warfare,John Mayer,61,4gs07VlJST4bdxGbBsXVue,https://open.spotify.com/track/4gs07VlJST4bdxGbBsXVue
Half of My Heart,John Mayer,62,7hR5toSPEgwFZ78jfHdANM,https://open.spotify.com/track/7hR5toSPEgwFZ78jfHdANM
Baby,Justin Bieber,81,6epn3r7S14KUqlReYr77hA,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA
California Gurls,Katy Perry,72,6tS3XVuOyu10897O3ae7bi,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi
Teenage Dream,Katy Perry,73,5jzKL4BDMClWqRguW5qZvh,https://open.spotify.com/track/5jzKL4BDMClWqRguW5qZvh
Commander,Kelly Rowland,41,31zeLcKH2x3UCMHT75Gk5C,https://open.spotify.com/track/31zeLcKH2x3UCMHT75Gk5C
TiK ToK,Kesha,83,0HPD5WQqrq7wPWR7P7Dw1i,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i
Your Love Is My Drug,Kesha,70,6vc2Jq2vaGu8z326kSrw92,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92
Take It Off,Kesha,68,0WCiI0ddWiu5F2kSHgfw5S,https://open.spotify.com/track/0WCiI0ddWiu5F2kSHgfw5S
Blah Blah Blah (feat. 3OH!3),Kesha,66,7lWUJpax919G4JdaFEVmCy,https://open.spotify.com/track/7lWUJpax919G4JdaFEVmCy
Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,63,4nOygULhEuDO5ZBRNPFaso,https://open.spotify.com/track/4nOygULhEuDO5ZBRNPFaso
Live Like We're Dying,Kris Allen,47,1HfxPaJggVwFsvOtHbVzMz,https://open.spotify.com/track/1HfxPaJggVwFsvOtHbVzMz
Bad Romance,Lady Gaga,82,0SiywuOBRcynK0uKGWdCnn,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn
Telephone,Lady Gaga,75,7rl7ao5pb9BhvAzPdWStxi,https://open.spotify.com/track/7rl7ao5pb9BhvAzPdWStxi
Alejandro,Lady Gaga,70,4lwavw59UjXUPJZtKNdFYp,https://open.spotify.com/track/4lwavw59UjXUPJZtKNdFYp
Right Above It,Lil Wayne,67,1kMuU3TNQvHbqvXCWBodmP,https://open.spotify.com/track/1kMuU3TNQvHbqvXCWBodmP
My Chick Bad,Ludacris,63,3bMNprrp2JDKZsGbiXpsJl,https://open.spotify.com/track/3bMNprrp2JDKZsGbiXpsJl
How Low,Ludacris,60,1WtTLtofvcjQM3sXSMkDdX,https://open.spotify.com/track/1WtTLtofvcjQM3sXSMkDdX
Misery,Maroon 5,61,6KBYk8OFtod7brGuZ3Y67q,https://open.spotify.com/track/6KBYk8OFtod7brGuZ3Y67q
When We Collide,Matt Cardle,36,6FSxwdN08PvzimGApFjRnY,https://open.spotify.com/track/6FSxwdN08PvzimGApFjRnY
Cooler Than Me - Single Mix,Mike Posner,76,2V4bv1fNWfTcyRJKmej6Sj,https://open.spotify.com/track/2V4bv1fNWfTcyRJKmej6Sj
Can't Be Tamed,Miley Cyrus,59,2r6DdaSbkbwoPzuK6NjLPn,https://open.spotify.com/track/2r6DdaSbkbwoPzuK6NjLPn
Animal,Neon Trees,68,1fBl642IhJOE5U319Gy2Go,https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go
Fireflies,Owl City,76,3DamFFqW32WihKkTVlwTYQ,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ
She Said,Plan B,30,6wH485H4wsmKWCZSDs3eCW,https://open.spotify.com/track/6wH485H4wsmKWCZSDs3eCW
Only Girl (In The World),Rihanna,82,2ENexcMEMsYk0rVJigVD3i,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i
Rude Boy,Rihanna,77,60jzFy6Nn4M0iD1d94oteF,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF
What's My Name?,Rihanna,73,6DkXLzBQT7cwXmTyzAB1DJ,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ
Man Down,Rihanna,57,454h9zAIuTe1eJyw9iTnj4,https://open.spotify.com/track/454h9zAIuTe1eJyw9iTnj4
Hard,Rihanna,52,3YJkAQNEhmCZGLdmPsu6Ye,https://open.spotify.com/track/3YJkAQNEhmCZGLdmPsu6Ye
Dancing On My Own - Radio Edit,Robyn,56,7g13jf3zqlP5S68Voo5v9m,https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m
King of Anything,Sara Bareilles,54,3VA8T3rNy5V24AXxNK5u9E,https://open.spotify.com/track/3VA8T3rNy5V24AXxNK5u9E
This Ain't a Love Song,Scouting For Girls,38,2tNE4DP5nL85XUJv1glO0a,https://open.spotify.com/track/2tNE4DP5nL85XUJv1glO0a
Eenie Meenie,Sean Kingston,63,45O0tUN9Bh6LH4eNxQ07AT,https://open.spotify.com/track/45O0tUN9Bh6LH4eNxQ07AT
Riverside,Sidney Samson,29,1II1g6PBUuTQBdMnFwXryk,https://open.spotify.com/track/1II1g6PBUuTQBdMnFwXryk
Alors on danse - Radio Edit,Stromae,75,2GYHyAoLWpkxLVa4oYTVko,https://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko
Stuck Like Glue,Sugarland,61,0JcKdUGNR7zI4jJDLyYXbi,https://open.spotify.com/track/0JcKdUGNR7zI4jJDLyYXbi
One - Radio Edit,Swedish House Mafia,57,41KPpw0EZCytxNkmEMJVgr,https://open.spotify.com/track/41KPpw0EZCytxNkmEMJVgr
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,43,5ZFVacinyPxz19eK2vTodL,https://open.spotify.com/track/5ZFVacinyPxz19eK2vTodL
Dynamite,Taio Cruz,70,1DqdF42leyFIzqNDv9CjId,https://open.spotify.com/track/1DqdF42leyFIzqNDv9CjId
Break Your Heart,Taio Cruz,66,1CdqVF1ywD0ZO1zXtB9yWa,https://open.spotify.com/track/1CdqVF1ywD0ZO1zXtB9yWa
The Flood,Take That,56,2a3U3GTCvrcma7wetBtOpi,https://open.spotify.com/track/2a3U3GTCvrcma7wetBtOpi
Back To December,Taylor Swift,55,3DrjZArsPsoqbLzUZZV1Id,https://open.spotify.com/track/3DrjZArsPsoqbLzUZZV1Id
Mine,Taylor Swift,53,0dBW6ZsW8skfvoRfgeerBF,https://open.spotify.com/track/0dBW6ZsW8skfvoRfgeerBF
Today Was A Fairytale,Taylor Swift,43,4pFvEWbjBpPUdYRQly0THs,https://open.spotify.com/track/4pFvEWbjBpPUdYRQly0THs
If I Die Young,The Band Perry,64,4u26EevCNXMhlvE1xFBJwX,https://open.spotify.com/track/4u26EevCNXMhlvE1xFBJwX
For the First Time,The Script,58,09ZcYBGFX16X8GMDrvqQwt,https://open.spotify.com/track/09ZcYBGFX16X8GMDrvqQwt
All Time Low,The Wanted,50,4kPf4MbDp81GfVHLISdByL,https://open.spotify.com/track/4kPf4MbDp81GfVHLISdByL
Seek Bromance (Avicii Vocal Edit),Tim Berg,37,5BIgbz2Dy7X2I0bnkKH9Mb,https://open.spotify.com/track/5BIgbz2Dy7X2I0bnkKH9Mb
Carry Out (Featuring Justin Timberlake),Timbaland,67,2DHc2e5bBn4UzY0ENVFrUl,https://open.spotify.com/track/2DHc2e5bBn4UzY0ENVFrUl
If We Ever Meet Again (Featuring Katy Perry),Timbaland,66,360UM2DaiHZPRu0EsrOvMp,https://open.spotify.com/track/360UM2DaiHZPRu0EsrOvMp
Pass Out,Tinie Tempah,42,4Q4K8fikwOmZYmz82Wco4w,https://open.spotify.com/track/4Q4K8fikwOmZYmz82Wco4w
Written in the Stars (feat. Eric Turner),Tinie Tempah,49,61HQWI1Woxup7CnGwVUsdI,https://open.spotify.com/track/61HQWI1Woxup7CnGwVUsdI
"Hey, Soul Sister",Train,83,4HlFJV71xXKIGcU3kRyttv,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv
Billionaire (feat. Bruno Mars),Travie McCoy,72,2qPUnoasNe4Ep43emVXEig,https://open.spotify.com/track/2qPUnoasNe4Ep43emVXEig
Bottoms Up (feat. Nicki Minaj),Trey Songz,69,4AYX69oFP3UOS1CFmV9UfO,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO
Say Aah (feat. Fabolous),Trey Songz,59,2fQ6sBFWaLv2Gxos4igHLy,https://open.spotify.com/track/2fQ6sBFWaLv2Gxos4igHLy
What You Know,Two Door Cinema Club,76,4iZxeyibg6w4EFCOoAQ6Eh,https://open.spotify.com/track/4iZxeyibg6w4EFCOoAQ6Eh
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,81,4356Typ82hUiFAynbLYbPn,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn
OMG (feat. will.i.am),USHER,68,1bM50INir8voAkVoKuvEUI,https://open.spotify.com/track/1bM50INir8voAkVoKuvEUI
Hey Daddy (Daddy's Home),USHER,76,030OCtLMrljNhp8OWHBWW3,https://open.spotify.com/track/030OCtLMrljNhp8OWHBWW3
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,74,03tqyYWC9Um2ZqU0ZN849H,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H
We No Speak Americano (Edit),Yolanda Be Cool,61,37dYAkMa4lzRCH6kDbMT1L,https://open.spotify.com/track/37dYAkMa4lzRCH6kDbMT1L
BedRock,Young Money,67,3iL2l5gUqyPS6vDwJFgJTR,https://open.spotify.com/track/3iL2l5gUqyPS6vDwJFgJTR
Rolling in the Deep,Adele,77,1c8gk2PeTE04A1pIDH9YMk,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk
Set Fire to the Rain,Adele,77,73CMRj62VK8nUS4ezD2wvi,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi
Mr. Saxobeat - Radio Edit,Alexandra Stan,63,6HTprulGfeFVrLLvfi3t8a,https://open.spotify.com/track/6HTprulGfeFVrLLvfi3t8a
What the Hell,Avril Lavigne,71,2z4U9d5OAA4YLNXoCgioxo,https://open.spotify.com/track/2z4U9d5OAA4YLNXoCgioxo
Lighters,Bad Meets Evil,68,5zpDHEU12zATwLGvozxPw2,https://open.spotify.com/track/5zpDHEU12zATwLGvozxPw2
Love On Top,Beyoncé,71,1z6WtY7X4HQJvzxC4UgkSf,https://open.spotify.com/track/1z6WtY7X4HQJvzxC4UgkSf
Best Thing I Never Had,Beyoncé,64,3lBRNqXjPp2j3JMTCXDTNO,https://open.spotify.com/track/3lBRNqXjPp2j3JMTCXDTNO
Skinny Love,Birdy,70,4RL77hMWUq35NYnPLXBpih,https://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih
Just Can’t Get Enough,Black Eyed Peas,76,3JA9Jsuxr4xgHXEawAdCp4,https://open.spotify.com/track/3JA9Jsuxr4xgHXEawAdCp4
Honey Bee,Blake Shelton,59,0gY2iq0xJPRoIB1PScKSw4,https://open.spotify.com/track/0gY2iq0xJPRoIB1PScKSw4
Holocene,Bon Iver,67,35KiiILklye1JRRctaLUb4,https://open.spotify.com/track/35KiiILklye1JRRctaLUb4
I Wanna Go,Britney Spears,66,5cCAZS9VhLGEDV4NCfieeg,https://open.spotify.com/track/5cCAZS9VhLGEDV4NCfieeg
Till the World Ends,Britney Spears,63,38iU2jg98IZZEIJPrP7aWD,https://open.spotify.com/track/38iU2jg98IZZEIJPrP7aWD
Grenade,Bruno Mars,77,2tJulUYLDKOg9XrtVkMgcJ,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ
Marry You,Bruno Mars,76,22PMfvdz35fFKYnJyMn077,https://open.spotify.com/track/22PMfvdz35fFKYnJyMn077
The Lazy Song,Bruno Mars,71,1ExfPZEiahqhLyajhybFeS,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,58,36cmM3MBMWWCFIiQ90U4J8,https://open.spotify.com/track/36cmM3MBMWWCFIiQ90U4J8
Blind Faith,Chase & Status,59,04OxTCLGgDKfO0MMA2lcxv,https://open.spotify.com/track/04OxTCLGgDKfO0MMA2lcxv
Champion (feat. Chris Brown),Chip,45,2hi6E31kMuHTcG0B18N7jP,https://open.spotify.com/track/2hi6E31kMuHTcG0B18N7jP
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,69,3hsmbFKT5Cujb5GQjqEU39,https://open.spotify.com/track/3hsmbFKT5Cujb5GQjqEU39
Yeah 3x,Chris Brown,66,2QtxlzvSBONjs1bDC34ixs,https://open.spotify.com/track/2QtxlzvSBONjs1bDC34ixs
Beautiful People,Chris Brown,50,7mdNKXxia7AeSuJqjjA2rb,https://open.spotify.com/track/7mdNKXxia7AeSuJqjjA2rb
jar of hearts,Christina Perri,69,0HZhYMZOcUzZKSFwPOti6m,https://open.spotify.com/track/0HZhYMZOcUzZKSFwPOti6m
You Make Me Feel... (feat. Sabi),Cobra Starship,69,16Of7eeW44kt0a1M0nitHM,https://open.spotify.com/track/16Of7eeW44kt0a1M0nitHM
Paradise,Coldplay,81,6nek1Nin9q48AVZcWs9e9D,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D
Every Teardrop Is a Waterfall,Coldplay,69,2U8g9wVcUu9wsg6i7sFSv8,https://open.spotify.com/track/2U8g9wVcUu9wsg6i7sFSv8
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,67,63rbP24OzfaQCJjsHWZXnY,https://open.spotify.com/track/63rbP24OzfaQCJjsHWZXnY
Who's That Chick? (feat. Rihanna),David Guetta,70,7e1h7rqNB0BBC2fUuWEEFe,https://open.spotify.com/track/7e1h7rqNB0BBC2fUuWEEFe
Coming Home,Diddy - Dirty Money,64,6Iocm6VMu6bVNYwiDoyQFW,https://open.spotify.com/track/6Iocm6VMu6bVNYwiDoyQFW
Louder (feat. Sian Evans) - Doctor P & Flux Pavillion Remix,DJ Fresh,33,1ZFdXzBLNeAG3VotbwFo7r,https://open.spotify.com/track/1ZFdXzBLNeAG3VotbwFo7r
I'm On One,DJ Khaled,67,608a1wIsSd5KzMEqm1O7w3,https://open.spotify.com/track/608a1wIsSd5KzMEqm1O7w3
I Need A Doctor,Dr. Dre,67,70ATm56tH7OrQ1zurYssz0,https://open.spotify.com/track/70ATm56tH7OrQ1zurYssz0
Headlines,Drake,76,6LxSe8YmdPxy095Ux6znaQ,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ
The A Team,Ed Sheeran,71,1VdZ0vKfR5jneCmWIUAMxK,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK
Lego House,Ed Sheeran,69,5ubHAQtKuFfiG4FXfLP804,https://open.spotify.com/track/5ubHAQtKuFfiG4FXfLP804
Stereo Love - Radio Edit,Edward Maya,63,1AguHaKOuggrVTebp7cZEI,https://open.spotify.com/track/1AguHaKOuggrVTebp7cZEI
Tonight (I'm Fuckin' You),Enrique Iglesias,62,3nMb7ToWIxYvmaIG20z6ux,https://open.spotify.com/track/3nMb7ToWIxYvmaIG20z6ux
Springsteen,Eric Church,73,05ZACkzW8YbRq3eFgIfSNB,https://open.spotify.com/track/05ZACkzW8YbRq3eFgIfSNB
Changed The Way You Kiss Me - Radio Edit,Example,57,5on3XiVxvqu4Jtgq3TtaQX,https://open.spotify.com/track/5on3XiVxvqu4Jtgq3TtaQX
Rocketeer,Far East Movement,64,45sDIKapDyxPl307QpEAwl,https://open.spotify.com/track/45sDIKapDyxPl307QpEAwl
Shake It Out,Florence + The Machine,62,4lY95OMGb9WxP6IYut64ir,https://open.spotify.com/track/4lY95OMGb9WxP6IYut64ir
Pumped Up Kicks,Foster The People,84,7w87IxuO7BDcJ3YUqCyMTT,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
Tongue Tied,GROUPLOVE,76,0GO8y8jQk1PkHzS31d699N,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,80,0qOnSQQF0yzuPWsXrQ9paz,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
Tonight Tonight,Hot Chelle Rae,67,2i0AUcEnsDm3dsqLrFWUCq,https://open.spotify.com/track/2i0AUcEnsDm3dsqLrFWUCq
Dirt Road Anthem,Jason Aldean,69,5ZVGvay4xwgXMnQWffNYeU,https://open.spotify.com/track/5ZVGvay4xwgXMnQWffNYeU
It Girl,Jason Derulo,67,4fINc8dnfcz7AdhFYVA4i7,https://open.spotify.com/track/4fINc8dnfcz7AdhFYVA4i7
Don't Wanna Go Home,Jason Derulo,60,1r3myKmjWoOqRip99CmSj1,https://open.spotify.com/track/1r3myKmjWoOqRip99CmSj1
On The Floor,Jennifer Lopez,78,3C0nOe05EIt1390bVABLyN,https://open.spotify.com/track/3C0nOe05EIt1390bVABLyN
Down On Me,Jeremih,72,0x3TibRgnSqzkcwrqBd4iX,https://open.spotify.com/track/0x3TibRgnSqzkcwrqBd4iX
Do It Like A Dude,Jessie J,47,6cSGSXvgioQxGQbM9VRe1G,https://open.spotify.com/track/6cSGSXvgioQxGQbM9VRe1G
All Of The Lights,Kanye West,76,22L7bfCiAkJo5xGSQgmiIO,https://open.spotify.com/track/22L7bfCiAkJo5xGSQgmiIO
Last Friday Night (T.G.I.F.),Katy Perry,71,455AfCsOhhLPRc68sE01D8,https://open.spotify.com/track/455AfCsOhhLPRc68sE01D8
Firework,Katy Perry,69,4r6eNCsrZnQWJzzvFh4nlg,https://open.spotify.com/track/4r6eNCsrZnQWJzzvFh4nlg
E.T.,Katy Perry,68,4z8ssgZfs5TzKiO8HaGWXO,https://open.spotify.com/track/4z8ssgZfs5TzKiO8HaGWXO
Motivation,Kelly Rowland,64,6rbhWExtuchhpLC5fHnB8n,https://open.spotify.com/track/6rbhWExtuchhpLC5fHnB8n
Pretty Girl Rock,Keri Hilson,61,2Adn2LNgkHMH5TelQVAu4n,https://open.spotify.com/track/2Adn2LNgkHMH5TelQVAu4n
We R Who We R,Kesha,70,3LUWWox8YYykohBbHUrrxd,https://open.spotify.com/track/3LUWWox8YYykohBbHUrrxd
Blow,Kesha,70,3pYDZTJM2tVBUhIRifWVzI,https://open.spotify.com/track/3pYDZTJM2tVBUhIRifWVzI
Earthquake (feat. Tinie Tempah),Labrinth,56,3SxiAdI8dP9AaaEz1Z24mn,https://open.spotify.com/track/3SxiAdI8dP9AaaEz1Z24mn
Just A Kiss,Lady A,61,2OXidlnDThZR3zf36k6DVL,https://open.spotify.com/track/2OXidlnDThZR3zf36k6DVL
Born This Way,Lady Gaga,65,6r2BECwMgEoRb5yLfp0Hca,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca
The Edge Of Glory,Lady Gaga,60,0JNdS1n0ifOP25XvhwAMgM,https://open.spotify.com/track/0JNdS1n0ifOP25XvhwAMgM
6 Foot 7 Foot,Lil Wayne,69,5Qy6a5KzM4XlRxsNcGYhgH,https://open.spotify.com/track/5Qy6a5KzM4XlRxsNcGYhgH
How To Love,Lil Wayne,66,5W7BcYDIaeXnpG3e39T7hJ,https://open.spotify.com/track/5W7BcYDIaeXnpG3e39T7hJ
Party Rock Anthem,LMFAO,67,0IkKz2J93C94Ei4BvDop7P,https://open.spotify.com/track/0IkKz2J93C94Ei4BvDop7P
Sexy And I Know It,LMFAO,61,0obBFrPYkSoBJbvHfUIhkv,https://open.spotify.com/track/0obBFrPYkSoBJbvHfUIhkv
The Show Goes On,Lupe Fiasco,67,4NTWZqvfQTlOMitlVn6tew,https://open.spotify.com/track/4NTWZqvfQTlOMitlVn6tew
I Follow Rivers - The Magician Remix,Lykke Li,64,3zNNXjjjeLrzIXSJZKalDi,https://open.spotify.com/track/3zNNXjjjeLrzIXSJZKalDi
Midnight City,M83,69,1eyzqe2QqGZUmfcPZtrIyt,https://open.spotify.com/track/1eyzqe2QqGZUmfcPZtrIyt
Donald Trump,Mac Miller,36,4no1bVGLUhgFEOQY3gb8lv,https://open.spotify.com/track/4no1bVGLUhgFEOQY3gb8lv
Buzzin Remix,Mann,44,7BmI4hAj6dXIQgA77ZlOzm,https://open.spotify.com/track/7BmI4hAj6dXIQgA77ZlOzm
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,70,7LcfRTgAVTs5pQGEQgUEzN,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN
Sure Thing,Miguel,85,0JXXNGljqupsJaZsgSbMZV,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
When We Stand Together,Nickelback,64,4bCOAuhvjsxbVBM5MM8oik,https://open.spotify.com/track/4bCOAuhvjsxbVBM5MM8oik
Super Bass,Nicki Minaj,77,3hlksXnvbKogFdPbpO9vel,https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,50,6y468DyY1V67RBNCwzrMrC,https://open.spotify.com/track/6y468DyY1V67RBNCwzrMrC
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,59,1f8UCzB3RqIgNkW7QIiIeP,https://open.spotify.com/track/1f8UCzB3RqIgNkW7QIiIeP
Good Life,OneRepublic,70,6OtCIsQZ64Vs1EbzztvAv4,https://open.spotify.com/track/6OtCIsQZ64Vs1EbzztvAv4
Raise Your Glass,P!nk,77,1gv4xPanImH17bKZ9rOveR,https://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR
Give Me Everything (feat. Nayer),Pitbull,84,4QNpBfC0zvjKqPJcyqBy9W,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,73,3rfhI32Il2hVRKDkuGeeen,https://open.spotify.com/track/3rfhI32Il2hVRKDkuGeeen
Read All About It,Professor Green,26,0ThnKvHAA1FZMHCROv431s,https://open.spotify.com/track/0ThnKvHAA1FZMHCROv431s
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,62,0PgNhIg5n0UAOBVn43b8b6,https://open.spotify.com/track/0PgNhIg5n0UAOBVn43b8b6
S&M,Rihanna,81,7ySUcLPVX7KudhnmNcgY2D,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D
We Found Love,Rihanna,81,6qn9YLKt13AGvpq9jfO8py,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py
What's My Name?,Rihanna,73,6DkXLzBQT7cwXmTyzAB1DJ,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ
